,Name,Price,Selldate,Public Year,Mileage,Origin,Bodytype,Seats,City,Year,Fueltype,Engine,Manufacturer
4790,Mercedes Benz C class C250 Exclusive,668,4/11/2024,2016,89000,Lap rap,Sedan,5,Ha Noi,8,Xang,2000,Mercedes
4791,Mitsubishi Outlander 2.4 CVT,650,4/11/2024,2017,90000,Nhap khau,SUV,7,Ha Noi,7,Xang,2400,Mitsubishi
4792,Hyundai Tucson 2.0 AT CRDi Dac biet,870,4/11/2024,2022,29000,Lap rap,Crossover,5,Ha Noi,2,Dau,2000,Hyundai
4793,Toyota Camry 2.5Q,1230,4/11/2024,2022,29000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2500,Toyota
4794,Lexus RX 350 F-Sport,2200,4/11/2024,2016,0,Nhap khau,SUV,5,Ha Noi,8,Xang,3500,Lexus
4795,Hyundai SantaFe 2.4L 4WD,635,4/11/2024,2016,80000,Lap rap,SUV,7,Ha Noi,8,Xang,2400,Hyundai
4796,BMW 5 Series 520i,680,4/11/2024,2015,84000,Nhap khau,Sedan,5,Ha Noi,9,Xang,2000,BMW
4797,Toyota Camry 2.5HV,1230,4/11/2024,2022,35000,Nhap khau,Sedan,5,Ha Noi,2,Hybrid,2500,Toyota
4798,Toyota Innova 2.0G,485,4/11/2024,2016,85000,Lap rap,Crossover,8,Ha Noi,8,Xang,2000,Toyota
4799,LandRover Range Rover Sport HSE,1568,4/11/2024,2015,66000,Nhap khau,SUV,5,Ha Noi,9,Xang,3000,Land Rover
4800,Ford Everest Titanium 2.0L 4x2 AT,845,4/11/2024,2019,75000,Nhap khau,SUV,7,Ha Noi,5,Dau,2000,Ford
4801,LandRover Range Rover HSE 3.0 V6,5439,4/11/2024,2019,60000,Nhap khau,SUV,5,Ha Noi,5,Xang,3000,Land Rover
4802,Kia Sonet Luxury 1.5 AT,560,4/11/2024,2023,19000,Lap rap,Crossover,5,Ha Noi,1,Xang,1500,Kia
4803,Toyota Land Cruiser VX 4.6 V8,2999,4/11/2024,2016,89000,Nhap khau,SUV,8,Ha Noi,8,Xang,4600,Toyota
4804,Lexus GX 460,2130,4/11/2024,2014,65000,Nhap khau,SUV,7,Ha Noi,10,Xang,4600,Lexus
4805,Ford Everest Sport 2.0L 4x2 AT,915,4/11/2024,2021,67000,Nhap khau,SUV,7,Ha Noi,3,Dau,2000,Ford
4806,Toyota Fortuner 2.7V 4x4 AT,768,4/11/2024,2017,70000,Nhap khau,SUV,7,Ha Noi,7,Xang,2700,Toyota
4807,LandRover Range Rover Evoque Dynamic,688,4/11/2024,2014,98000,Nhap khau,SUV,5,Ha Noi,10,Xang,2000,Land Rover
4808,VinFast Lux SA 2.0 Cao cap,879,4/11/2024,2022,46000,Lap rap,SUV,7,Ha Noi,2,Xang,2000,VinFast
4809,Toyota Land Cruiser 4.6 V8,4190,4/11/2024,2020,90000,Nhap khau,SUV,8,Ha Noi,4,Xang,4600,Toyota
4810,Mitsubishi Xpander Premium 1.5 AT,625,4/11/2024,2023,23000,Nhap khau,SUV,7,Ha Noi,1,Xang,1500,Mitsubishi
4811,Ford EcoSport Titanium 1.5L AT,335,4/11/2024,2015,80000,Lap rap,SUV,5,Ha Noi,9,Xang,1500,Ford
4812,Hyundai Accent 1.4 AT,310,4/11/2024,2015,110000,Nhap khau,Hatchback,5,Ha Noi,9,Xang,1400,Hyundai
4813,Toyota Camry 2.5Q,865,4/11/2024,2020,50000,Nhap khau,Sedan,5,Ha Noi,4,Xang,2500,Toyota
4814,Toyota Camry 2.5Q,755,4/11/2024,2018,60000,Lap rap,Sedan,5,Ha Noi,6,Xang,2500,Toyota
4815,Hyundai i10 1.2 AT,365,4/11/2024,2021,30000,Lap rap,Sedan,5,Ha Noi,3,Xang,1250,Hyundai
4816,Porsche Macan 2.0,3235,4/11/2024,2022,39000,Nhap khau,SUV,5,Ha Noi,2,Xang,2000,Porsche
4817,Mercedes Benz S class S450L,2690,4/11/2024,2020,39000,Lap rap,Sedan,5,Ha Noi,4,Xang,3000,Mercedes
4818,Mercedes Benz GLC 300 4Matic,2599,4/11/2024,2023,14000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mercedes
4819,Mazda 3 1.5 AT,445,4/11/2024,2018,70000,Lap rap,Sedan,5,Ha Noi,6,Xang,1500,Mazda
4820,VinFast Lux A 2.0 2.0 AT,589,4/11/2024,2021,30000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,VinFast
4821,Toyota Vios 1.5E CVT,345,4/11/2024,2017,92000,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Toyota
4822,Hyundai Elantra Sport 1.6 AT,525,4/11/2024,2019,60000,Lap rap,Sedan,5,Ha Noi,5,Xang,1600,Hyundai
4823,Mercedes Benz S class S450L,2750,4/11/2024,2020,34000,Lap rap,Sedan,5,Ha Noi,4,Xang,3000,Mercedes
4824,Toyota Innova 2.0G,370,4/11/2024,2014,170000,Lap rap,Crossover,8,Ha Noi,10,Xang,2000,Toyota
4825,Mercedes Benz E class E300 AMG,1898,4/11/2024,2021,80000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,Mercedes
4826,VinFast Lux SA 2.0 2.0 AT,695,4/11/2024,2020,60000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
4827,Ford Everest Sport 2.0L 4x2 AT,915,4/11/2024,2021,67000,Nhap khau,SUV,7,Ha Noi,3,Dau,2000,Ford
4828,Mercedes Benz GLC 300 4Matic,1999,4/11/2024,2022,25000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
4829,Mitsubishi Xpander Premium 1.5 AT,596,4/11/2024,2022,31666,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Mitsubishi
4830,Toyota Fortuner 2.7V 4x2 AT,799,4/11/2024,2019,0,Nhap khau,SUV,7,Ha Noi,5,Xang,2700,Toyota
4831,Kia Morning S AT,299,4/11/2024,2018,80000,Lap rap,Hatchback,5,Ha Noi,6,Xang,1250,Kia
4832,Toyota Wigo 1.2G AT,290,4/11/2024,2020,0,Nhap khau,Hatchback,5,Ha Noi,4,Xang,1200,Toyota
4833,Honda Accord 1.5 AT,975,4/11/2024,2022,40000,Nhap khau,Sedan,5,Ha Noi,2,Xang,1500,Honda
4834,Mercedes Benz V class V250 Maybach Luxury,3499,4/11/2024,2022,479,Nhap khau,Van,6,Ha Noi,2,Xang,2000,Mercedes
4835,Kia Seltos Premium 1.6 AT,659,4/11/2024,2022,37000,Lap rap,Crossover,5,Ha Noi,2,Xang,1600,Kia
4836,Peugeot 3008 1.6 AT,650,4/11/2024,2019,70000,Lap rap,Crossover,5,Ha Noi,5,Xang,1600,Peugeot
4837,Chevrolet Trailblazer LT 2.5L VGT 4x2 AT,535,4/11/2024,2018,55000,Nhap khau,SUV,7,Ha Noi,6,Dau,2500,Chevrolet
4838,Toyota Corolla altis 1.8G AT,625,4/11/2024,2021,50000,Lap rap,Sedan,5,Ha Noi,3,Xang,1800,Toyota
4839,Hyundai Tucson 2.0 AT,599,4/11/2024,2018,80000,Lap rap,Crossover,5,Ha Noi,6,Xang,2000,Hyundai
4840,Mercedes Benz C class C200,730,4/11/2024,2017,95000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
4841,Lexus RX 350 AWD,1350,4/11/2024,2015,100000,Nhap khau,SUV,5,Ha Noi,9,Xang,3500,Lexus
4842,Mazda 3 1.5L Sport Premium,585,4/11/2024,2020,70000,Lap rap,Hatchback,5,Ha Noi,4,Xang,1500,Mazda
4843,Volkswagen Polo 1.6 AT,365,4/11/2024,2017,57000,Nhap khau,Hatchback,5,Ha Noi,7,Xang,1600,Volkswagen
4844,BMW X6 xDrive40i M Sport,3450,4/11/2024,2022,0,Nhap khau,SUV,5,Ha Noi,2,Xang,3000,BMW
4845,Lexus LX 570,4930,4/11/2024,2016,81000,Nhap khau,SUV,7,Ha Noi,8,Xang,5700,Lexus
4846,Mercedes Benz GLC 200,979,4/11/2024,2018,75000,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
4847,VinFast Fadil 1.4 AT Plus,335,4/11/2024,2021,35000,Lap rap,Hatchback,5,Ha Noi,3,Xang,1400,VinFast
4848,VinFast Lux SA 2.0 Premium 2.0 AT,760,4/11/2024,2020,70000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
4849,Kia Sedona Noble Klasse V4 2.2 DAT,899,4/11/2024,2020,66000,Lap rap,Van,4,Ha Noi,4,Dau,2200,Kia
4850,Porsche Panamera 3.0 V6,3099,4/11/2024,2017,63000,Nhap khau,Sedan,4,Ha Noi,7,Xang,3000,Porsche
4851,BMW 5 Series 520i,1220,4/11/2024,2018,40000,Nhap khau,Sedan,5,Ha Noi,6,Xang,1600,BMW
4852,Honda CRV 2.0 AT,535,4/11/2024,2015,75000,Lap rap,SUV,5,Ha Noi,9,Xang,2000,Honda
4853,Mercedes Benz E class E250,1099,4/11/2024,2017,61000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
4854,Mercedes Benz GLC 300 4Matic,1839,4/11/2024,2021,12000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
4855,VinFast Lux SA 2.0 Premium 2.0 AT,810,4/11/2024,2021,65000,Lap rap,SUV,7,Ha Noi,3,Xang,2000,VinFast
4856,Lexus ES 250,1260,4/11/2024,2018,65800,Nhap khau,Sedan,5,Ha Noi,6,Xang,2500,Lexus
4857,BMW X3 xDrive30i xLine,1468,4/11/2024,2020,0,Nhap khau,SUV,5,Ha Noi,4,Xang,2000,BMW
4858,BMW 3 Series 320i,550,4/11/2024,2015,70000,Nhap khau,Sedan,5,Ha Noi,9,Xang,2000,BMW
4859,Toyota Prado VX 2.7L,2390,4/11/2024,2021,60000,Nhap khau,SUV,7,Ha Noi,3,Xang,2700,Toyota
4860,McLaren 720S 4.0 V8,8900,4/11/2024,2017,13000,Nhap khau,Coupe,2,Ha Noi,7,Xang,4000,McLaren
4861,Mercedes Benz C class C250 Exclusive,699,4/11/2024,2016,90000,Lap rap,Sedan,5,Ha Noi,8,Xang,2000,Mercedes
4862,VinFast Lux A 2.0 Plus 2.0 AT,630,4/11/2024,2021,60000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,VinFast
4863,Peugeot 2008 GT Line 1.2 AT,665,4/11/2024,2022,38000,Lap rap,Crossover,5,Ha Noi,2,Xang,1200,Peugeot
4864,Ford Focus S 2.0 AT,325,4/11/2024,2015,59000,Lap rap,Hatchback,5,Ha Noi,9,Xang,2000,Ford
4865,Hyundai Elantra 1.6 AT Tieu chuan,560,4/11/2024,2023,15000,Lap rap,Sedan,5,Ha Noi,1,Xang,1600,Hyundai
4866,Mercedes Benz GLC 200,1420,4/11/2024,2021,70000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
4867,BMW X3 sDrive20i M Sport,1939,4/11/2024,2023,1000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,BMW
4868,Mitsubishi Pajero 3.0 4x4 AT,515,4/11/2024,2017,110000,Nhap khau,SUV,7,Ha Noi,7,Xang,3000,Mitsubishi
4869,Lexus RX 350L,3050,4/11/2024,2019,80000,Nhap khau,SUV,7,Ha Noi,5,Xang,3500,Lexus
4870,Mercedes Benz S class S450L,2350,4/11/2024,2019,38000,Lap rap,Sedan,5,Ha Noi,5,Xang,3000,Mercedes
4871,Bentley Mulsanne Speed,7900,4/11/2024,2014,50000,Nhap khau,Sedan,5,Ha Noi,10,Xang,6800,Bentley
4872,BMW 7 Series 740Li,3190,4/11/2024,2020,40000,Nhap khau,Sedan,5,Ha Noi,4,Xang,3000,BMW
4873,Kia Seltos Premium 1.4 AT,639,4/11/2024,2022,40000,Lap rap,Crossover,5,Ha Noi,2,Xang,1400,Kia
4874,Mitsubishi Triton 4x2 AT,465,4/11/2024,2019,83000,Nhap khau,Ban tai,5,Ha Noi,5,Dau,2500,Mitsubishi
4875,Mercedes Benz GLC 300 4Matic,1080,4/11/2024,2018,0,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
4876,Lexus RX 350,3850,4/11/2024,2022,30000,Nhap khau,SUV,5,Ha Noi,2,Xang,3500,Lexus
4877,Hyundai i10 Grand 1.2 AT,360,4/11/2024,2021,25000,Lap rap,Hatchback,5,Ha Noi,3,Xang,1250,Hyundai
4878,Hyundai i10 1.2 AT,395,4/11/2024,2023,9000,Lap rap,Hatchback,5,Ha Noi,1,Xang,1250,Hyundai
4879,Porsche Cayenne 3.6 V6,1290,4/11/2024,2014,74000,Nhap khau,SUV,5,Ha Noi,10,Xang,3600,Porsche
4880,Toyota Corolla Cross 1.8G,725,4/11/2024,2022,44000,Nhap khau,SUV,5,Ha Noi,2,Xang,1800,Toyota
4881,Mazda BT50 3.2L 4x4 AT,399,4/11/2024,2015,0,Nhap khau,Ban tai,5,Ha Noi,9,Dau,3200,Mazda
4882,Mazda 3 1.5L Luxury,615,4/11/2024,2023,15000,Lap rap,Sedan,5,Ha Noi,1,Xang,1500,Mazda
4883,Kia Cerato 1.6 AT Luxury,465,4/11/2024,2019,56000,Lap rap,Sedan,5,Ha Noi,5,Xang,1600,Kia
4884,Mercedes Benz Maybach GLS 480 4Matic,7599,4/11/2024,2022,27000,Nhap khau,SUV,4,Ha Noi,2,Xang,3000,Mercedes
4885,Hyundai SantaFe Cao cap 2.2L HTRAC,1148,4/11/2024,2022,70000,Lap rap,SUV,7,Ha Noi,2,Dau,2200,Hyundai
4886,Mazda CX5 Premium Sport 2.0 AT,878,4/11/2024,2024,8000,Lap rap,SUV,5,Ha Noi,0,Xang,2000,Mazda
4887,Ford Everest Titanium 2.0L 4x2 AT,1210,4/11/2024,2022,18000,Nhap khau,SUV,7,Ha Noi,2,Dau,2000,Ford
4888,Lexus ES 350,1150,4/11/2024,2015,70000,Nhap khau,Sedan,5,Ha Noi,9,Xang,3500,Lexus
4889,Hyundai SantaFe Cao cap 2.2L HTRAC,1060,4/11/2024,2021,32000,Lap rap,SUV,7,Ha Noi,3,Dau,2200,Hyundai
4890,Kia Seltos Deluxe 1.4 AT,550,4/11/2024,2021,30000,Lap rap,Crossover,5,Ha Noi,3,Xang,1400,Kia
4891,Mitsubishi Xpander 1.5 AT,525,4/11/2024,2021,53000,Nhap khau,SUV,7,Ha Noi,3,Xang,1500,Mitsubishi
4892,BMW 3 Series 320i,599,4/11/2024,2016,112000,Nhap khau,Sedan,5,Ha Noi,8,Xang,2000,BMW
4893,Mazda 3 1.5L Sport Luxury,545,4/11/2024,2019,35000,Lap rap,Hatchback,5,Ha Noi,5,Xang,1500,Mazda
4894,LandRover Range Rover Evoque Dynamic,795,4/11/2024,2014,96000,Nhap khau,SUV,5,Ha Noi,10,Xang,2000,Land Rover
4895,Kia Sorento Signature 2.2 AT AWD,1130,4/11/2024,2023,6000,Lap rap,SUV,7,Ha Noi,1,Dau,2200,Kia
4896,VinFast Lux A 2.0 Premium 2.0 AT,640,4/11/2024,2020,29000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,VinFast
4897,Toyota Yaris 1.5G,475,4/11/2024,2018,71000,Nhap khau,Hatchback,5,Ha Noi,6,Xang,1500,Toyota
4898,Toyota Vios 1.5G,375,4/11/2024,2017,70000,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Toyota
4899,Mercedes Benz E class E250,1130,4/11/2024,2018,60000,Lap rap,Sedan,5,Ha Noi,6,Xang,2000,Mercedes
4900,Mazda 3 1.5 AT,438,4/11/2024,2017,63000,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Mazda
4901,Kia Sorento Signature 2.5 AT AWD,929,4/11/2024,2021,45000,Lap rap,SUV,7,Ha Noi,3,Xang,2500,Kia
4902,Mitsubishi Triton Athlete 4x2 AT,658,4/11/2024,2022,39000,Nhap khau,Ban tai,5,Ha Noi,2,Dau,2400,Mitsubishi
4903,Mazda 3 1.5 AT,415,4/11/2024,2017,80000,Lap rap,Hatchback,5,Ha Noi,7,Xang,1500,Mazda
4904,BMW 5 Series 530i Luxury Line,1490,4/11/2024,2019,0,Nhap khau,Sedan,5,Ha Noi,5,Xang,2000,BMW
4905,Ford Territory Titanium X 1.5 AT,838,4/11/2024,2023,0,Lap rap,SUV,5,Ha Noi,1,Xang,1500,Ford
4906,Mercedes Benz GLE Class GLE 450 4Matic,2768,4/11/2024,2020,70000,Nhap khau,SUV,7,Ha Noi,4,Xang,3000,Mercedes
4907,Toyota Veloz Cross Top 1.5 CVT,575,4/11/2024,2022,40000,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Toyota
4908,Hyundai Elantra Sport 1.6 AT,555,4/11/2024,2020,38000,Lap rap,Sedan,5,Ha Noi,4,Xang,1600,Hyundai
4909,Honda HRV G,520,4/11/2024,2019,48000,Nhap khau,Crossover,5,Ha Noi,5,Xang,1800,Honda
4910,Mazda 3 1.5 AT,444,4/11/2024,2018,71000,Lap rap,Sedan,5,Ha Noi,6,Xang,1500,Mazda
4911,Mercedes Benz GLC 300 4Matic,1630,4/11/2024,2020,52000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
4912,Mercedes Benz GLC 300 4Matic,1838,4/11/2024,2021,11998,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
4913,LandRover Range Rover Vogue 3.0,5899,4/11/2024,2019,70000,Nhap khau,SUV,5,Ha Noi,5,Xang,3000,Land Rover
4914,Mercedes Benz G class G63 AMG,9390,4/11/2024,2021,17000,Nhap khau,SUV,5,Ha Noi,3,Xang,4000,Mercedes
4915,Hyundai SantaFe 2.2L HTRAC,830,4/11/2024,2019,56000,Lap rap,SUV,7,Ha Noi,5,Dau,2200,Hyundai
4916,Mazda CX5 Signature Premium 2.5 AT AWD I-Activ,820,4/11/2024,2022,35000,Lap rap,SUV,5,Ha Noi,2,Xang,2500,Mazda
4917,Mercedes Benz GLC 300 4Matic,1999,4/11/2024,2022,26000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
4918,Lexus RX 350 F-Sport,2290,4/11/2024,2016,100000,Nhap khau,SUV,5,Ha Noi,8,Xang,3500,Lexus
4919,LandRover Discovery HSE 2.0 I4,2280,4/11/2024,2019,42000,Nhap khau,SUV,7,Ha Noi,5,Xang,2000,Land Rover
4920,VinFast Lux SA 2.0 Plus 2.0 AT,699,4/11/2024,2020,70000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
4921,Mazda 3 2.0 AT,370,4/11/2024,2015,90000,Lap rap,Sedan,5,Ha Noi,9,Xang,2000,Mazda
4922,Mercedes Benz C class C300 AMG,1099,4/11/2024,2019,56000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mercedes
4923,LandRover Range Rover Vogue 3.0,4800,4/11/2024,2018,56000,Nhap khau,SUV,5,Ha Noi,6,Xang,3000,Land Rover
4924,Kia Sonet Premium 1.5 AT,575,4/11/2024,2023,32123,Lap rap,Crossover,5,Ha Noi,1,Xang,1500,Kia
4925,Kia Sorento GATH,585,4/11/2024,2018,67000,Lap rap,SUV,7,Ha Noi,6,Xang,2400,Kia
4926,LandRover Range Rover Autobiography 3.0,2590,4/11/2024,2014,40000,Nhap khau,SUV,5,Ha Noi,10,Xang,3000,Land Rover
4927,Mercedes Benz E class E300 AMG,1799,4/11/2024,2020,28000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Mercedes
4928,Ford Everest Titanium 2.0L 4x4 AT,960,4/11/2024,2020,67000,Nhap khau,SUV,7,Ha Noi,4,Dau,2000,Ford
4929,Ford EcoSport Titanium 1.5L AT,345,4/11/2024,2015,95000,Lap rap,SUV,5,Ha Noi,9,Xang,1500,Ford
4930,Mercedes Benz GLC 300 4Matic,1036,4/11/2024,2017,68000,Lap rap,SUV,5,Ha Noi,7,Xang,2000,Mercedes
4931,Mercedes Benz E class E300 AMG,2299,4/11/2024,2022,19000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,Mercedes
4932,Lexus LX 570 Super Sport MBS,7300,4/11/2024,2019,55000,Nhap khau,SUV,4,Ha Noi,5,Xang,5700,Lexus
4933,BMW 7 Series 730Li,1500,4/11/2024,2016,53000,Nhap khau,Sedan,5,Ha Noi,8,Xang,2000,BMW
4934,BMW 7 Series 730Li,1500,4/11/2024,2016,53000,Nhap khau,Sedan,5,Ha Noi,8,Xang,2000,BMW
4935,Lexus ES 300h,2790,4/11/2024,2022,20000,Nhap khau,Sedan,5,Ha Noi,2,Hybrid,2500,Lexus
4936,Mitsubishi Xpander 1.5 AT,505,4/11/2024,2020,55000,Nhap khau,SUV,7,Ha Noi,4,Xang,1500,Mitsubishi
4937,Lexus ES 300h,2790,4/11/2024,2022,20000,Nhap khau,Sedan,5,Ha Noi,2,Hybrid,2500,Lexus
4938,Lexus RX 450h,3990,4/11/2024,2021,57000,Nhap khau,SUV,5,Ha Noi,3,Hybrid,3500,Lexus
4939,Mazda CX5 Signature Premium 2.5 AT AWD I-Activ,775,4/11/2024,2021,50000,Lap rap,SUV,5,Ha Noi,3,Xang,2500,Mazda
4940,Mercedes Benz G class G63 AMG Edition 1,7900,4/11/2024,2019,60000,Nhap khau,SUV,5,Ha Noi,5,Xang,4000,Mercedes
4941,Lexus LX 570,4350,4/11/2024,2016,130000,Nhap khau,SUV,7,Ha Noi,8,Xang,5700,Lexus
4942,Kia Cerato 2.0 AT Premium,510,4/11/2024,2020,40000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Kia
4943,Toyota Vios G 1.5 CVT,485,4/11/2024,2022,48126,Lap rap,Sedan,5,Ha Noi,2,Xang,1500,Toyota
4944,Volkswagen Polo 1.6 AT,469,4/11/2024,2020,52000,Nhap khau,Hatchback,5,Ha Noi,4,Xang,1600,Volkswagen
4945,Mercedes Benz C class C300 AMG,1660,4/11/2024,2022,22000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2000,Mercedes
4946,Bentley Flying Spur W12,4790,4/11/2024,2014,0,Nhap khau,Sedan,5,Ha Noi,10,Xang,6000,Bentley
4947,Jaguar XJ series XJL 3.0 Portfolio,1790,4/11/2024,2015,63000,Nhap khau,Sedan,5,Ha Noi,9,Xang,3000,Jaguar
4948,Mercedes Benz E class E200,1299,4/11/2024,2019,30000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mercedes
4949,Toyota Corolla Cross 1.8G,750,4/11/2024,2023,13000,Nhap khau,SUV,5,Ha Noi,1,Xang,1800,Toyota
4950,Mazda 3 1.5 AT,455,4/11/2024,2018,73236,Lap rap,Hatchback,5,Ha Noi,6,Xang,1500,Mazda
4951,Mercedes Benz GLE Class GLE 400 4Matic,1890,4/11/2024,2019,65000,Nhap khau,SUV,5,Ha Noi,5,Xang,3000,Mercedes
4952,Hyundai SantaFe Cao cap 2.5L HTRAC,988,4/11/2024,2021,50000,Lap rap,SUV,7,Ha Noi,3,Xang,2500,Hyundai
4953,Ford Everest Titanium 2.0L 4x2 AT,910,4/11/2024,2020,58000,Nhap khau,SUV,7,Ha Noi,4,Dau,2000,Ford
4954,Mercedes Benz GLS 450 4Matic,3750,4/11/2024,2019,56315,Nhap khau,SUV,7,Ha Noi,5,Xang,3000,Mercedes
4955,Kia Sorento Signature 2.2 AT AWD,955,4/11/2024,2021,52360,Lap rap,SUV,7,Ha Noi,3,Dau,2200,Kia
4956,Toyota Corolla Cross 1.8HV,768,4/11/2024,2020,32000,Nhap khau,SUV,5,Ha Noi,4,Hybrid,1800,Toyota
4957,Toyota Camry 2.5Q,899,4/11/2024,2020,38000,Nhap khau,Sedan,5,Ha Noi,4,Xang,2500,Toyota
4958,Peugeot 2008 GT Line 1.2 AT,679,4/11/2024,2022,29000,Lap rap,Crossover,5,Ha Noi,2,Xang,1200,Peugeot
4959,Mercedes Benz GLC 300 4Matic,2559,4/11/2024,2023,13000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mercedes
4960,Mercedes Benz E class E300 AMG,2299,4/11/2024,2022,19000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,Mercedes
4961,Honda BR V L,675,4/11/2024,2024,6500,Nhap khau,SUV,7,Ha Noi,0,Xang,1500,Honda
4962,Mazda 6 Premium 2.0 AT,650,4/11/2024,2020,35000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Mazda
4963,Mercedes Benz S class S400L,1250,4/11/2024,2014,90000,Lap rap,Sedan,5,Ha Noi,10,Xang,3000,Mercedes
4964,Mercedes Benz GLS 450 4Matic,4550,4/11/2024,2021,30000,Nhap khau,SUV,7,Ha Noi,3,Xang,3000,Mercedes
4965,Toyota Fortuner 2.7V 4x2 AT,650,4/11/2024,2017,79000,Nhap khau,SUV,7,Ha Noi,7,Xang,2700,Toyota
4966,Kia Carnival Signature 2.2D,1299,4/11/2024,2022,49000,Lap rap,Van,7,Ha Noi,2,Dau,2200,Kia
4967,Hyundai SantaFe 2.4L,775,4/11/2024,2020,50000,Lap rap,SUV,7,Ha Noi,4,Xang,2400,Hyundai
4968,Mitsubishi Xpander 1.5 AT,520,4/11/2024,2020,59000,Nhap khau,SUV,7,Ha Noi,4,Xang,1500,Mitsubishi
4969,Mercedes Benz Maybach S450 4Matic,4450,4/11/2024,2020,50000,Nhap khau,Sedan,5,Ha Noi,4,Xang,3000,Mercedes
4970,Mazda CX5 2.5 AT 2WD,635,4/11/2024,2018,60000,Lap rap,SUV,5,Ha Noi,6,Xang,2500,Mazda
4971,Ford Explorer Limited 2.3L EcoBoost,828,4/11/2024,2016,120000,Nhap khau,SUV,7,Ha Noi,8,Xang,2300,Ford
4972,Mercedes Benz GL 350 CDI 4Matic,1388,4/11/2024,2015,110000,Nhap khau,SUV,7,Ha Noi,9,Dau,3000,Mercedes
4973,Ford Everest Titanium 2.0L 4x2 AT,810,4/11/2024,2018,80000,Nhap khau,SUV,7,Ha Noi,6,Dau,2000,Ford
4974,Mercedes Benz S class S400L,1399,4/11/2024,2016,86000,Lap rap,Sedan,5,Ha Noi,8,Xang,3000,Mercedes
4975,Audi Q5 45 TFSI Quattro,1999,4/11/2024,2021,44000,Nhap khau,SUV,5,Ha Noi,3,Xang,2000,Audi
4976,Kia Carnival Signature 2.2D,1280,4/11/2024,2022,34555,Lap rap,Van,7,Ha Noi,2,Dau,2200,Kia
4977,Peugeot 3008 1.6 AT,650,4/11/2024,2019,70000,Lap rap,Crossover,5,Ha Noi,5,Xang,1600,Peugeot
4978,LandRover Range Rover Supercharged LWB 5.0,3300,4/11/2024,2014,64000,Nhap khau,SUV,5,Ha Noi,10,Xang,5000,Land Rover
4979,Kia Morning Luxury,335,4/11/2024,2021,80000,Lap rap,Hatchback,5,Ha Noi,3,Xang,1250,Kia
4980,VinFast Lux SA 2.0 2.0 AT,668,4/11/2024,2019,18000,Lap rap,SUV,7,Ha Noi,5,Xang,2000,VinFast
4981,Honda CRV L,796,4/11/2024,2019,59000,Nhap khau,SUV,7,Ha Noi,5,Xang,1500,Honda
4982,Ford Everest Titanium Plus 2.0L 4x4 AT,1430,4/11/2024,2023,20000,Nhap khau,SUV,7,Ha Noi,1,Dau,2000,Ford
4983,Toyota Vios G 1.5 CVT,469,4/11/2024,2022,40000,Lap rap,Sedan,5,Ha Noi,2,Xang,1500,Toyota
4984,Mazda CX8 Premium,940,4/11/2024,2022,20000,Lap rap,SUV,7,Ha Noi,2,Xang,2500,Mazda
4985,Hyundai SantaFe Cao cap 2.2L HTRAC,1250,4/11/2024,2023,10000,Lap rap,SUV,7,Ha Noi,1,Dau,2200,Hyundai
4986,Honda CRV G,840,4/11/2024,2021,50000,Lap rap,SUV,7,Ha Noi,3,Xang,1500,Honda
4987,Porsche 718 Cayman 2.0 AT,4150,4/11/2024,2022,18000,Nhap khau,Coupe,2,Ha Noi,2,Xang,2000,Porsche
